game_id,frame_id,square_idx,square_name,label,crop_path,is_occluded,split
game2_per_frame,200,0,a8,r,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_00.jpg,False,train
game2_per_frame,200,1,b8,n,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_01.jpg,False,train
game2_per_frame,200,2,c8,b,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_02.jpg,False,train
game2_per_frame,200,3,d8,q,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_03.jpg,False,train
game2_per_frame,200,4,e8,k,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_04.jpg,False,train
game2_per_frame,200,5,f8,b,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_05.jpg,False,train
game2_per_frame,200,6,g8,n,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_06.jpg,False,train
game2_per_frame,200,7,h8,r,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_07.jpg,False,train
game2_per_frame,200,8,a7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_08.jpg,False,train
game2_per_frame,200,9,b7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_09.jpg,False,train
game2_per_frame,200,10,c7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_10.jpg,False,train
game2_per_frame,200,11,d7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_11.jpg,False,train
game2_per_frame,200,12,e7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_12.jpg,False,train
game2_per_frame,200,13,f7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_13.jpg,False,train
game2_per_frame,200,14,g7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_14.jpg,False,train
game2_per_frame,200,15,h7,p,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_15.jpg,False,train
game2_per_frame,200,16,a6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_16.jpg,False,train
game2_per_frame,200,17,b6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_17.jpg,False,train
game2_per_frame,200,18,c6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_18.jpg,False,train
game2_per_frame,200,19,d6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_19.jpg,False,train
game2_per_frame,200,20,e6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_20.jpg,False,train
game2_per_frame,200,21,f6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_21.jpg,False,train
game2_per_frame,200,22,g6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_22.jpg,False,train
game2_per_frame,200,23,h6,empty,/home/yuliamo/Projects/ChessboardClassification/cache/square_crops/game2_per_frame_frame000200_sq_23.jpg,False,train
