game_id,frame_id,img_path,fen,is_occluded,split,sq_00,sq_01,sq_02,sq_03,sq_04,sq_05,sq_06,sq_07,sq_08,sq_09,sq_10,sq_11,sq_12,sq_13,sq_14,sq_15,sq_16,sq_17,sq_18,sq_19,sq_20,sq_21,sq_22,sq_23,sq_24,sq_25,sq_26,sq_27,sq_28,sq_29,sq_30,sq_31,sq_32,sq_33,sq_34,sq_35,sq_36,sq_37,sq_38,sq_39,sq_40,sq_41,sq_42,sq_43,sq_44,sq_45,sq_46,sq_47,sq_48,sq_49,sq_50,sq_51,sq_52,sq_53,sq_54,sq_55,sq_56,sq_57,sq_58,sq_59,sq_60,sq_61,sq_62,sq_63
game2_per_frame,200,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000200.jpg,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,False,train,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R
game2_per_frame,588,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000588.jpg,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,False,test,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,P,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,P,P,P,empty,P,P,P,P,R,N,B,Q,K,B,N,R
game2_per_frame,620,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000620.jpg,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,False,train,r,n,b,q,k,b,n,r,p,p,p,empty,p,p,p,p,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,empty,P,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,P,P,P,empty,P,P,P,P,R,N,B,Q,K,B,N,R
game2_per_frame,840,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000840.jpg,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,False,train,r,n,b,q,k,b,n,r,p,p,p,empty,p,p,p,p,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,P,P,empty,empty,P,P,P,P,R,N,B,Q,K,B,N,R
game2_per_frame,856,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000856.jpg,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR,True,test,r,n,b,q,k,b,n,r,p,p,p,empty,empty,p,p,p,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,P,P,empty,empty,P,P,P,P,R,N,B,Q,K,B,N,R
game2_per_frame,872,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000872.jpg,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,False,train,r,n,b,q,k,b,n,r,p,p,p,empty,empty,p,p,p,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,N,empty,empty,empty,empty,empty,P,P,empty,empty,P,P,P,P,R,empty,B,Q,K,B,N,R
game2_per_frame,896,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000896.jpg,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,False,valid,r,n,b,q,k,b,empty,r,p,p,p,empty,empty,p,p,p,empty,empty,empty,empty,p,n,empty,empty,empty,empty,empty,p,empty,empty,empty,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,N,empty,empty,empty,empty,empty,P,P,empty,empty,P,P,P,P,R,empty,B,Q,K,B,N,R
game2_per_frame,936,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_000936.jpg,rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR,False,test,r,n,b,q,k,b,empty,r,p,p,p,empty,empty,p,p,p,empty,empty,empty,empty,p,n,empty,empty,empty,empty,empty,p,empty,empty,B,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,N,empty,empty,empty,empty,empty,P,P,empty,empty,P,P,P,P,R,empty,empty,Q,K,B,N,R
game2_per_frame,1024,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_001024.jpg,rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR,False,train,r,n,b,q,k,empty,empty,r,p,p,p,empty,b,p,p,p,empty,empty,empty,empty,p,n,empty,empty,empty,empty,empty,p,empty,empty,B,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,N,empty,empty,empty,empty,empty,P,P,empty,empty,P,P,P,P,R,empty,empty,Q,K,B,N,R
game2_per_frame,1040,/home/yuliamo/Projects/DeepLearning/data/csv_games/game2_per_frame/tagged_images/frame_001040.jpg,rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,False,train,r,n,b,q,k,empty,empty,r,p,p,p,empty,b,p,p,p,empty,empty,empty,empty,p,n,empty,empty,empty,empty,empty,p,empty,empty,B,empty,empty,empty,P,P,empty,empty,empty,empty,empty,empty,N,empty,P,empty,empty,empty,P,P,empty,empty,empty,P,P,P,R,empty,empty,Q,K,B,N,R
